,Ann_Return,Volatility,Sharpe,Sortino,Max_Drawdown,VaR_95,CVaR_95,Cluster
ETF 1 ,0.14607171040813802,0.20482865737680384,0.7131409846593085,0.8288544846283639,-0.3600953418832246,-0.01806401455259629,-0.03156057965456135,0
ETF 2,0.12600522988578,0.17530742019645434,0.7187672361191275,0.8319586929571061,-0.35543288282146207,-0.015607191066020536,-0.02672825824615028,5
ETF 3,0.05319393293793626,0.16526997122054699,0.32186084710422574,0.41392861245994017,-0.3840907414572092,-0.01577530309556499,-0.024846722672369696,5
ETF 4,0.11637062547096125,0.16429390209598146,0.7083076364147517,0.814309631947471,-0.3505610372695663,-0.014466586816689771,-0.02485802473402405,5
ETF 5,0.07726927820772822,0.16946123724625595,0.4559702234171868,0.514049826353515,-0.35371903769681745,-0.015512991738944241,-0.027285271046091478,5
ETF 6,0.14855547473250938,0.20403043542955748,0.7281044831362863,0.854409980506163,-0.35381841807472314,-0.01787499277429257,-0.031069135770020836,0
ETF 7,0.0020667649178437884,0.03929545982484803,0.052595514266940674,0.06624117804590769,-0.1745262708259527,-0.003597719337421251,-0.00596970616015344,1
ETF 8,0.11447925226324566,0.14670180591930337,0.7803533947374687,1.0537973030855379,-0.2331531450463496,-0.013948557920349153,-0.021087350064150953,5
ETF 9,0.15519416291782312,0.20712707607737174,0.7492702830404016,0.8739983246345765,-0.3591942005343853,-0.018489074496806313,-0.03196306736805066,0
ETF 10,0.01895640918715252,0.08241350503027015,0.23001581088184403,0.24270526584778487,-0.2924998809309493,-0.0069374951629679145,-0.012619073963129094,1
ETF 11,0.022790166188382185,0.08672973197164684,0.26277224280864386,0.3264233844517091,-0.2542271636091829,-0.008320564955531592,-0.012784728812861211,1
ETF 12,0.1999872343861985,0.24863334573537624,0.8043459890494639,1.0042337355328945,-0.38666192064652,-0.025132706034998176,-0.037664618949358145,0
ETF 13,0.10850135848732527,0.2837822695896668,0.3823401604484034,0.5122900220844236,-0.6431939748075239,-0.025442081157197725,-0.04125030206676688,0
ETF 14,0.10320359777989696,0.16941099086850822,0.6091906862170503,0.6799477399918683,-0.36369218873004544,-0.015596871706332888,-0.027022097809899105,5
ETF 15,0.022504837988645925,0.024291628985313327,0.9264441673406221,1.130156455549186,-0.0764026455617609,-0.0021469786756013287,-0.0036550695953813973,4
ETF 16,0.14310125943049368,0.20800901125100874,0.6879570196014752,0.8052202237521623,-0.35859517758079185,-0.018888779490210755,-0.03201715875334389,0
ETF 17,0.12747939181640267,0.17122086970399605,0.7445318554729166,0.8847387588994141,-0.3360076979004392,-0.015112725409600928,-0.025554047926373828,5
ETF 18,0.12731563228975237,0.16148689511905326,0.7883960627015044,0.8899964568333383,-0.3379390566616705,-0.014207623226507891,-0.024628734007932203,5
ETF 19,0.14635349970963735,0.20720101945823946,0.7063358090240204,0.8194601553341978,-0.3633453880626164,-0.01805195701771304,-0.03197456771954885,0
ETF 20,-0.008087477117180433,0.056051442768362776,-0.14428668947207302,-0.1987939326907533,-0.25879710275614537,-0.005708338739104032,-0.008194426374048928,1
ETF 21,0.03302785484277716,0.04384538060363541,0.7532801491986292,1.094704506449029,-0.11203444669297712,-0.004202048548132527,-0.006105853929266765,4
ETF 22,0.11699966327013821,0.1664250610373108,0.7030170969497681,0.8081247064144955,-0.3510683722825123,-0.014857480470549887,-0.025188877323996377,5
ETF 23,0.1597336390153255,0.21331280227553034,0.7488234991587701,0.8875466343252251,-0.36329252135363516,-0.01925545527361397,-0.032640821003838714,0
ETF 24,0.10410772213880184,0.17003903868458445,0.6122577670644062,0.684635797825909,-0.3646013717206243,-0.015754346441367962,-0.027142966041288148,5
ETF 25,0.09558598349204181,0.2020526893151297,0.47307454217034434,0.5572161322397393,-0.39985261941422356,-0.01835693843569431,-0.031496471525320244,5
ETF 26,0.04545554495768157,0.07078135255974653,0.6421966141338222,0.668136946727317,-0.2233494323910208,-0.005799115718933183,-0.010640422271717109,1
ETF 27,0.11836270576948996,0.20089966415379895,0.5891632834133425,0.6817819535262096,-0.3954820016759536,-0.018201835103876043,-0.031563147491097246,0
ETF 28,0.13512788419520358,0.1706641668809197,0.7917765437514986,0.8953359461969687,-0.35339679173187305,-0.015070568740082516,-0.02650722108082302,5
ETF 29,0.1453036012627114,0.2072745648348691,0.701019931598802,0.8282591011736039,-0.35656688063296177,-0.01847861502008237,-0.031468553360539636,0
ETF 30,0.04711023076013246,0.1691502623583684,0.2785111303009562,0.36646977790734003,-0.4058687714103443,-0.016155084348098973,-0.02515538362208109,5
ETF 31,0.09039949389813243,0.20344684909240643,0.4443396115565918,0.5297708693214798,-0.38620968448359033,-0.017921102883284218,-0.030279079541639563,5
ETF 32,0.12312180535915782,0.20531252006347148,0.599679967500741,0.7003773031517448,-0.36702612136562845,-0.018218941344198727,-0.0317880985435988,0
ETF 33,0.15195650179644876,0.21042392450185424,0.722144604783805,0.8432422129208236,-0.3613942933624437,-0.018729670963466047,-0.03239995324369876,0
ETF 34,0.02722027558401011,0.06638270697575954,0.4100507018183203,0.559630795753259,-0.1560639242414094,-0.006266495690198494,-0.009629746845219639,1
ETF 35,0.03012953495911458,0.04869858329089553,0.6186942806762813,0.5253926714959246,-0.2070630442041078,-0.0034157586046906128,-0.007780330730110342,1
ETF 36,0.00673890602453442,0.09044114020219841,0.07451151112721832,0.09147795144141561,-0.27777153459071646,-0.00851079688421246,-0.013520912231695348,1
ETF 37,0.0812485195021341,0.16245543495738857,0.5001280475685241,0.6066324941121619,-0.3761355882006261,-0.014501268474100439,-0.023816224048271294,5
ETF 38,0.06963349651481673,0.13058910799467277,0.533225914351581,0.5985633507855823,-0.30392389469935294,-0.010136546105862874,-0.01958252447818252,5
ETF 39,-0.012894159496948302,0.06119338468881384,-0.21071165719168589,-0.316256308391277,-0.22950829565144282,-0.0062535299372739345,-0.008605503769699728,1
ETF 40,0.13424974232456074,0.17563771653712854,0.7643559992205964,0.9190895591899464,-0.33890819754567014,-0.015912829865755474,-0.026200913481318255,5
ETF 41,0.11464552748311937,0.16507614828861492,0.694500863217841,0.8138621641807873,-0.34126110199277404,-0.01611408486011253,-0.025649816474345066,5
ETF 42,0.026487893129405367,0.17927823748969388,0.1477473981242596,0.1874574270503186,-0.3924315886042456,-0.016286198248695708,-0.02679831537500339,5
ETF 43,0.003847778540093379,0.022605603526742863,0.1702134842602801,0.2029999216749834,-0.10156048798427827,-0.0021715644300177714,-0.003569656450357049,4
ETF 44,0.06745087966894162,0.17215371391014136,0.3918061256822422,0.5766361004394367,-0.34799282391388203,-0.01756331702813391,-0.023869370648964865,5
ETF 45,-0.001305052578413206,0.07475069175722558,-0.01745873580209452,-0.02597840770468814,-0.24409292474590472,-0.007626684121955407,-0.010423695644744723,1
ETF 46,0.008426985192934793,0.0030120840843134234,2.797725746376581,2.869496860981821,-0.012656669035612503,-0.00017291740427645202,-0.0004226728926666471,4
ETF 47,0.10324634796043446,0.20205994703862593,0.510968895486733,0.6019233629513077,-0.39984623010933557,-0.018222460222622614,-0.03147384277808099,5
ETF 48,0.029408973566741513,0.0073481132551772065,4.002248270468756,1.6478223605483806,-0.04133739609382141,-7.072114912033021e-05,-0.0008724820811377471,4
ETF 49,0.08484726725420247,0.22521871413939007,0.3767327576592488,0.4523830869135895,-0.41860220458408265,-0.020351732428779985,-0.03370400475535193,5
ETF 50,0.1244510274774613,0.17295583768501344,0.7195537840365416,0.8576340824858075,-0.3379920634157814,-0.01554380372112547,-0.025784285953328684,5
ETF 51,0.10320556856589996,0.16941705109552144,0.6091805275710422,0.6796595686263248,-0.36367880335703334,-0.015588328791017127,-0.02702458179830536,5
ETF 52,0.12214318245060171,0.2149858867282409,0.5681451201724712,0.6600057160592513,-0.41203800651753836,-0.018889152910396625,-0.032790251488115055,0
ETF 53,0.23789673733168018,0.2685986404649315,0.8856959846106899,1.135328895137867,-0.36764637528641436,-0.025407910563790798,-0.03932261354877658,0
ETF 54,0.1163952345878667,0.16542044221946015,0.7036327132619278,0.8256392849129682,-0.34183167809958503,-0.01595105867597718,-0.02564968045332237,5
ETF 55,0.09408096062210511,0.19527981606183895,0.4817751394865747,0.5650467842665443,-0.3699666072968355,-0.017560297919849078,-0.030242300471507187,5
ETF 56,0.08634923704024249,0.14964631449093932,0.5770221427369044,0.6439451957605824,-0.38083281331532653,-0.01217539886324377,-0.022766141159608844,5
ETF 57,0.0013082130190374126,0.03904804513515048,0.03350265076035211,0.04226319900989497,-0.17231189052723453,-0.003555856037453072,-0.005944555280994908,1
ETF 58,0.15824876837154478,0.2064446977901973,0.7665431472227375,0.892879324762317,-0.35357958433150954,-0.01795332986709966,-0.031633392574812805,0
ETF 59,0.12254542997824994,0.17580570607589754,0.6970503558362635,0.817698299985149,-0.350532433092854,-0.01603263131714593,-0.026667747449628163,5
ETF 60,0.1033240882236383,0.18928953045737887,0.5458521027231515,0.6199673550600032,-0.39327287818122003,-0.01749001203924483,-0.029797062604611044,5
ETF 61,0.007108412891975323,0.05538544837213078,0.1283444135761873,0.17629773750795666,-0.18655462175253845,-0.005725509409934696,-0.0081357758111185,1
ETF 62,0.1482481318982162,0.20812179413118603,0.7123143086339652,0.856356656373197,-0.34779430018744295,-0.01914080177032365,-0.03132161791227556,0
ETF 63,0.11406493408896322,0.16060013724423616,0.7102418219948123,0.8388074882245634,-0.32197467403646785,-0.014839222964552043,-0.024276099356976485,5
ETF 64,-0.0024320503387388224,0.00018671600240871683,-13.02539850556099,-14.451685546127775,-0.013438968348731515,-3.898659178342916e-05,-4.1374876037886534e-05,3
ETF 65,0.006033746284751084,0.010486277768467903,0.5753944743762633,0.6541409944584032,-0.04803252069043599,-0.0009410671918985014,-0.0016898326177009284,4
ETF 66,0.1267945576202344,0.19865591691432674,0.638262175069854,0.7364782426970451,-0.3985927653784706,-0.017598561193711622,-0.031024309014271872,0
ETF 67,0.15351902046607285,0.20683349032066525,0.7422348297080126,0.8669168860751799,-0.3663648751340526,-0.018375187806366364,-0.03192864271666669,0
ETF 68,0.10557441409813054,0.16114026767269815,0.6551708993841886,0.7555776467381331,-0.3324120300466796,-0.014489029607297284,-0.02470669571605744,5
ETF 69,0.1406720053123194,0.21625500749251603,0.6504913201475239,0.8596993396981195,-0.4673401093734299,-0.021387628674189158,-0.03162707110986382,0
ETF 70,-0.012926413030870715,0.0597555443572743,-0.2163215676454151,-0.32797127850235136,-0.22908980354284866,-0.00616615028921874,-0.008296743249711929,1
ETF 71,0.1029799197251499,0.1698061655322324,0.6064557161536186,0.6773225654800017,-0.3650139548460755,-0.015587389858226408,-0.02708063001708234,5
ETF 72,0.02077795443192522,0.0016407663822753757,12.663566645673741,,0.0,1.0604444937954886e-06,6.168555612071842e-07,2
ETF 73,0.05657003362544995,0.17885117484416124,0.3162966845185179,0.4007490035482728,-0.404037430038405,-0.016952893499750286,-0.026701648437358973,5
ETF 74,0.19417792505373482,0.2486599900457553,0.7808973410559721,0.9750093226191985,-0.3905477509778561,-0.02513458040135655,-0.037691095056854036,0
ETF 75,0.12292708273679824,0.24544142393380905,0.5008408147515856,0.6601608284593048,-0.4214419390780365,-0.02502333827121104,-0.03646054378384897,0
ETF 76,0.013714360719374671,0.062498862654571066,0.2194337646618218,0.27007269178599114,-0.2523152218905729,-0.006261430042920201,-0.009543829049709797,1
ETF 77,0.13427677603806754,0.1790243709215217,0.7500474675424498,0.8841779239184986,-0.3521383799838698,-0.0160057900027787,-0.027060988480302972,0
ETF 78,0.0012209452168071594,0.038983130554080724,0.031319835001792896,0.03946759997986162,-0.17152932874390045,-0.003562059082440512,-0.005941190381660509,1
ETF 79,0.09582568189054104,0.1950595764750157,0.4912636622217567,0.5451840670105221,-0.4152650500496399,-0.017762859580679174,-0.03127654459416258,5
ETF 80,0.14400401785508904,0.204870834542117,0.7029015046330811,0.8118908048866118,-0.3662170581406259,-0.018287662811251246,-0.03163393481519674,0
ETF 81,0.04093494082324999,0.1709520390081105,0.23945277904119006,0.31498920195498303,-0.41392790545352526,-0.016210269727059703,-0.025242510373389766,5
ETF 82,0.07321118267235026,0.17478595045812018,0.418861942166754,0.6217221001205052,-0.34815396500295176,-0.017558731838986014,-0.024145050362374226,5
ETF 83,0.14995816677288112,0.21044748408582856,0.7125681137234334,0.8568858089748588,-0.36014481740423987,-0.01759701133428971,-0.03226999705972929,0
ETF 84,0.14924572085290125,0.17689246875480968,0.8437087339188558,0.9831341336402102,-0.3401704720927802,-0.015273195290256468,-0.027180820057644692,0
ETF 85,0.087863725028782,0.14427531929566775,0.6090003852198741,0.7307186113877133,-0.2730552641550597,-0.01309190965377394,-0.02171832065722175,5
ETF 86,-0.001562930093741435,0.04093520809426982,-0.038180582596335125,-0.049256258778277724,-0.183022393969826,-0.003856601294090347,-0.0061418591944028544,1
ETF 87,0.011841429943745221,0.07393469429013988,0.1601606668890281,0.20469545104527273,-0.2607211683971035,-0.0070532359970137985,-0.011179126232996456,1
ETF 88,0.106384255822479,0.1797905796696835,0.5917120686630593,0.746220412121073,-0.3018819570541391,-0.015827279553229955,-0.026392848356215547,5
ETF 89,0.10332663813622758,0.18928219706966917,0.5458867222372535,0.6207543911285425,-0.39328849923804227,-0.017518410458475523,-0.029797504396173614,5
ETF 90,-0.010089978334129935,0.06228921108980327,-0.16198597088640382,-0.25977091995409257,-0.20948007563841334,-0.006245402173277593,-0.008446039145257694,1
ETF 91,-0.01521509376670613,0.04611397294221914,-0.32994541124814075,-0.5055468542409941,-0.21231385779179665,-0.004720885320183945,-0.006286317992004151,1
ETF 92,0.1153191197662803,0.1705235212561699,0.6762651798225625,0.771423455395599,-0.34814059062493946,-0.01562559354882106,-0.02634317821428383,5
ETF 93,0.09157682778683317,0.19657461021817793,0.465862949875328,0.5502908753111688,-0.4248847128549811,-0.01807047192156769,-0.02908122106906284,5
ETF 94,0.12350079315197363,0.1717270403211645,0.7191691705686071,0.832666943616034,-0.3546709554984144,-0.014997140413494928,-0.026112246443976698,5
ETF 95,0.055248514668698095,0.16380721143627827,0.33727767040457807,0.4297886776566251,-0.3693082052147124,-0.015757063378556143,-0.02465096913367575,5
ETF 96,0.055774573328817176,0.20187692127125015,0.27628008678553284,0.38385245182012045,-0.5039436672035444,-0.019753729624695217,-0.029728937156198974,5
ETF 97,0.13647154804931125,0.16457176667923878,0.8292524945381627,1.1723028583161637,-0.2887328951903785,-0.016384545624581286,-0.02289500726142203,5
ETF 98,0.0642067280305481,0.16947797379163088,0.37884998619046945,0.4251907548992823,-0.37073098316981,-0.01460076396882006,-0.02517418351218936,5
ETF 99,0.10312839885234742,0.17793011889345753,0.5796005729311039,0.5981500285134059,-0.3914647892134212,-0.013473925683201058,-0.02593167876607759,5
ETF 100,0.09710833690971657,0.15039593264511003,0.6456845953331967,0.7753153017020273,-0.27776916192473744,-0.013324773290689781,-0.02251803632593875,5
ETF 101,0.15260692933501968,0.20966952209648115,0.7278450764284012,0.849452233484864,-0.3687304540463206,-0.018306152275827343,-0.0320958438888892,0
ETF 102,0.056157816495284514,0.18048357916223984,0.3111519438829572,0.4374566233812,-0.4632827398706172,-0.018102626869685286,-0.026328246003264534,5
ETF 103,-0.002296877917874611,0.08357255819064521,-0.027483637782571967,-0.02890217691295283,-0.3110073987605712,-0.007112923491450884,-0.012928717532257532,1
ETF 104,0.10708917747602897,0.188807256171726,0.5671878276681701,0.6445196103016105,-0.3912135324784983,-0.01768706480878145,-0.029761052130391683,5
ETF 105,0.1342476552677691,0.1760472075933223,0.7625662292689572,0.9152289673342864,-0.34112517756997474,-0.015538746573693817,-0.02667965886304375,5
